instnm,Undergraduate enrollment (DRVEF2018),Total  enrollment (DRVEF2018),Full-time equivalent fall enrollment (DRVEF2018),Full-time enrollment (DRVEF2018),Undergraduate enrollment (DRVEF2017_RV),Total  enrollment (DRVEF2017_RV),Full-time equivalent fall enrollment (DRVEF2017_RV),Full-time enrollment (DRVEF2017_RV),Undergraduate enrollment (DRVEF2016_RV),Total  enrollment (DRVEF2016_RV),Full-time equivalent fall enrollment (DRVEF2016_RV),Full-time enrollment (DRVEF2016_RV),Undergraduate enrollment (DRVEF2015_RV),Total  enrollment (DRVEF2015_RV),Full-time equivalent fall enrollment (DRVEF2015_RV),Full-time enrollment (DRVEF2015_RV),Undergraduate enrollment (DRVEF2014_RV),Total  enrollment (DRVEF2014_RV),Full-time equivalent fall enrollment (DRVEF2014_RV),Full-time enrollment (DRVEF2014_RV),Undergraduate enrollment (DRVEF2013_RV),Total  enrollment (DRVEF2013_RV),Full-time equivalent fall enrollment (DRVEF2013_RV),Full-time enrollment (DRVEF2013_RV),Undergraduate enrollment (DRVEF2012_RV),Total  enrollment (DRVEF2012_RV),Full-time equivalent fall enrollment (DRVEF2012_RV),Full-time enrollment (DRVEF2012_RV),Undergraduate enrollment (DRVEF2011_RV),Total  enrollment (DRVEF2011_RV),Full-time equivalent fall enrollment (DRVEF2011_RV),Full-time enrollment (DRVEF2011_RV),Undergraduate enrollment (DRVEF2010_RV),Total  enrollment (DRVEF2010_RV),Full-time equivalent fall enrollment (DRVEF2010_RV),Full-time enrollment (DRVEF2010_RV),Undergraduate enrollment (DRVEF2009_1_RV),Total  enrollment (DRVEF2009_RV),Full-time equivalent fall enrollment (DRVEF2009_RV),Full-time enrollment (DRVEF2009_RV),Total  enrollment (DRVEF2008_RV),Full-time equivalent enrollment: Fall 2008 (DRVEF2008_RV),Full-time enrollment (DRVEF2008_RV),Total  enrollment (DRVEF2007_RV),Full-time equivalent enrollment: Fall 2007 (DRVEF2007_RV),Full-time enrollment (DRVEF2007_RV),Total  enrollment (DRVEF2006_RV),Full-time equivalent enrollment: Fall 2006 (DRVEF2006_RV),Full-time enrollment (DRVEF2006_RV),Total  enrollment (DFR2005_RV),Full-time equivalent enrollment: Fall 2005 (DFR2005_RV),Full-time enrollment (DFR2005_RV),Total  enrollment (DFR2004_RV),Full-time equivalent enrollment: Fall 2004 (DFR2004_RV),Full-time enrollment (DFR2004_RV),Full-time equivalent enrollment: Fall 2003 (HD2003)
Total  enrollment (DRVEF2014_RV),9181,27589,21679,6298,28791,8088,24806,12336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent fall enrollment (DRVEF2014_RV),8922,24925,21632,6210,23658,8018,22739,12223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2014_RV),8756,23268,21602,6155,20430,7972,21441,12153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undergraduate enrollment (DRVEF2013_RV),6455,7970,14393,4276,10534,5323,11525,5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DRVEF2013_RV),8943,26957,21593,6342,28242,8014,24630,12109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent fall enrollment (DRVEF2013_RV),8689,24352,21553,6246,23403,7966,22612,11997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2013_RV),8527,22731,21528,6185,20353,7935,21344,11927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undergraduate enrollment (DRVEF2012_RV),6435,7814,14261,4193,10478,5327,11678,5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DRVEF2012_RV),8885,26471,21424,6277,28006,7975,24725,11906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent fall enrollment (DRVEF2012_RV),8601,23774,21376,6187,23253,7975,22695,11804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2012_RV),8420,22097,21346,6130,20258,7975,21416,11740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undergraduate enrollment (DRVEF2011_RV),6380,8127,14167,4194,10305,5203,11765,5349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DRVEF2011_RV),8768,26050,21131,6144,27392,7813,24832,11875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent fall enrollment (DRVEF2011_RV),8510,23430,21073,6055,22809,7813,22683,11763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2011_RV),8346,21793,21037,5999,19921,7813,21329,11694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undergraduate enrollment (DRVEF2010_RV),6318,7950,13935,4248,10265,5142,11940,5310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DRVEF2010_RV),8705,25208,20939,6141,27594,7724,25007,11701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent fall enrollment (DRVEF2010_RV),8483,22845,20878,6037,23015,7724,22673,11597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2010_RV),8341,21366,20840,5971,20131,7724,21203,11533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undergraduate enrollment (DRVEF2009_1_RV),6244,7743,13931,4196,10257,5113,11954,5275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DRVEF2009_RV),8574,24230,20633,5987,27651,7592,24599,11593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent fall enrollment (DRVEF2009_RV),8326,22004,20569,5880,22935,7592,22172,11507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2009_RV),8169,20611,20529,5813,19967,7592,20643,11454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DRVEF2008_RV),8318,23196,20273,5848,26496,7330,24107,10192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent enrollment: Fall 2008 (DRVEF2008_RV),8094,21105,20218,5759,22199,7330,21668,10109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2008_RV),7952,19796,20184,5698,19490,7330,20128,10057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DRVEF2007_RV),8167,22655,19800,5849,25690,7261,23980,11454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent enrollment: Fall 2007 (DRVEF2007_RV),7974,20719,19777,5786,21904,7261,21427,11345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2007_RV),7850,19507,19763,5746,19513,7261,19816,11273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DRVEF2006_RV),8125,22317,19639,5753,25778,7085,23743,11415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent enrollment: Fall 2006 (DRVEF2006_RV),7899,20319,19616,5665,21983,7085,21137,11303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DRVEF2006_RV),7754,19067,19601,5609,19584,7085,19492,11229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DFR2005_RV),8261,21983,19642,5780,25017,6773,23704,11483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent enrollment: Fall 2005 (DFR2005_RV),8041,20091,19616,5693,21493,6773,21293,11360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DFR2005_RV),7899,18904,19599,5637,19263,6773,19771,11276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  enrollment (DFR2004_RV),8004,21648,19518,5704,24648,6708,23305,11441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent enrollment: Fall 2004 (DFR2004_RV),7762,19713,19489,5617,21193,6708,20831,11276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time enrollment (DFR2004_RV),7604,18498,19471,5562,19007,6708,19267,11165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time equivalent enrollment: Fall 2003 (HD2003),7649,19467,19595,5595,21257,6688,20675,11315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
